rank,nameWithOwner,stars,language,isArchived,isFork,createdAt
79,Comfy-Org/ComfyUI,106915,Python,False,False,2023-01-17T03:15:56Z
80,affaan-m/everything-claude-code,106618,JavaScript,False,False,2026-01-18T00:51:51Z
81,denoland/deno,106441,Rust,False,False,2018-05-15T01:34:26Z
82,fatedier/frp,105582,Go,False,False,2015-12-21T15:24:59Z
83,clash-verge-rev/clash-verge-rev,105309,TypeScript,False,False,2023-11-21T18:24:03Z
84,goldbergyoni/nodebestpractices,105182,Dockerfile,False,False,2017-09-15T08:33:19Z
85,tauri-apps/tauri,104593,Rust,False,False,2019-07-13T09:09:37Z
86,papers-we-love/papers-we-love,104459,Shell,False,False,2013-12-15T14:31:41Z
87,facebook/create-react-app,103808,JavaScript,False,False,2016-07-17T14:55:11Z
88,Shubhamsaboo/awesome-llm-apps,103515,Python,False,False,2024-04-29T05:30:25Z
89,anthropics/skills,102597,Python,False,False,2025-09-22T15:53:31Z
90,deepseek-ai/DeepSeek-V3,102375,Python,False,False,2024-12-26T09:52:40Z
91,microsoft/terminal,102359,C++,False,False,2017-08-11T18:38:22Z
92,jaywcjlove/awesome-mac,100851,JavaScript,False,False,2016-07-17T15:33:47Z
93,angular/angular,100130,TypeScript,False,False,2014-09-18T16:12:01Z
94,2dust/v2rayN,99740,C#,False,False,2019-07-30T03:47:24Z
95,supabase/supabase,99596,TypeScript,False,False,2019-10-12T05:56:49Z
96,ggml-org/llama.cpp,99271,C++,False,False,2023-03-10T18:58:00Z
97,google-gemini/gemini-cli,99036,TypeScript,False,False,2025-04-17T17:04:31Z
98,Anduin2017/HowToCook,99026,Dockerfile,False,False,2020-02-29T10:43:49Z
99,pytorch/pytorch,98561,Python,False,False,2016-08-13T05:26:41Z
100,mtdvio/every-programmer-should-know,98352,,False,False,2017-08-24T13:18:26Z
101,mui/material-ui,98031,JavaScript,False,False,2014-08-18T19:11:54Z
102,firecrawl/firecrawl,98005,TypeScript,False,False,2024-04-15T21:02:29Z
103,ant-design/ant-design,97765,TypeScript,False,False,2015-04-24T15:37:24Z
104,neovim/neovim,97454,Vim Script,False,False,2014-01-31T13:39:22Z
105,openai/whisper,96581,Python,False,False,2022-09-16T20:02:54Z
106,fastapi/fastapi,96550,Python,False,False,2018-12-08T08:21:47Z
107,nvbn/thefuck,95749,Python,False,False,2015-04-08T15:08:04Z
108,immich-app/immich,95657,TypeScript,False,False,2022-02-03T15:56:27Z
109,microsoft/Web-Dev-For-Beginners,95462,JavaScript,False,False,2020-11-10T02:44:00Z
110,ryanmcdermott/clean-code-javascript,94336,JavaScript,False,False,2016-11-25T22:25:41Z
111,tailwindlabs/tailwindcss,94182,TypeScript,False,False,2017-10-06T14:59:14Z
112,puppeteer/puppeteer,93935,TypeScript,False,False,2017-05-09T22:16:13Z
113,iluwatar/java-design-patterns,93837,Java,False,False,2014-08-09T16:45:18Z
114,nvm-sh/nvm,92523,Shell,False,False,2010-04-15T17:47:47Z
115,microsoft/markitdown,92162,Python,False,False,2024-11-13T19:56:40Z
116,deepseek-ai/DeepSeek-R1,91981,,False,False,2025-01-20T11:57:28Z
117,florinpop17/app-ideas,91494,,False,False,2019-02-25T18:36:56Z
118,PanJiaChen/vue-element-admin,90302,Vue,False,False,2017-04-17T03:35:49Z
119,storybookjs/storybook,89514,TypeScript,False,False,2016-03-18T04:23:44Z
120,rasbt/LLMs-from-scratch,89212,Jupyter Notebook,False,False,2023-07-23T18:15:57Z
121,bitcoin/bitcoin,88610,C++,False,False,2010-12-19T15:16:43Z
122,oven-sh/bun,88399,Zig,False,False,2021-04-14T00:48:17Z
123,gin-gonic/gin,88311,Go,False,False,2014-06-16T23:57:25Z
124,ChatGPTNextWeb/NextChat,87576,TypeScript,False,False,2023-03-10T18:27:54Z
125,gohugoio/hugo,87267,Go,False,False,2013-07-04T15:26:26Z
126,django/django,87114,Python,False,False,2012-04-28T02:47:18Z
127,mermaid-js/mermaid,86912,TypeScript,False,False,2014-11-01T23:52:32Z
128,opencv/opencv,86787,C++,False,False,2012-07-19T09:40:17Z
129,ruanyf/weekly,86706,,False,False,2018-10-13T12:36:07Z
130,sveltejs/svelte,86137,JavaScript,False,False,2016-11-20T18:13:05Z
131,home-assistant/core,85831,Python,False,False,2013-09-17T07:29:48Z
132,3b1b/manim,85523,Python,False,False,2015-03-22T18:50:58Z
133,microsoft/playwright,84963,TypeScript,False,False,2019-11-15T18:32:42Z
134,microsoft/ML-For-Beginners,84717,Jupyter Notebook,False,False,2021-03-03T01:34:05Z
135,louislam/uptime-kuma,84464,JavaScript,False,False,2021-07-03T01:02:42Z
136,browser-use/browser-use,84362,Python,False,False,2024-10-31T16:00:56Z
137,punkpeye/awesome-mcp-servers,84056,,False,False,2024-11-30T04:49:10Z
138,laravel/laravel,84046,Blade,False,False,2011-06-08T03:06:08Z
139,MunGell/awesome-for-beginners,83846,,False,False,2015-10-24T19:53:36Z
140,macrozheng/mall,83234,Java,False,False,2018-04-04T01:11:44Z
141,realworld-apps/realworld,83034,TypeScript,False,False,2016-02-26T20:49:53Z
142,animate-css/animate.css,82637,CSS,False,False,2011-10-12T10:07:38Z
143,anthropics/claude-code,82524,Shell,False,False,2025-02-22T17:41:21Z
144,github/spec-kit,82139,Python,False,False,2025-08-21T22:54:31Z
145,modelcontextprotocol/servers,82036,TypeScript,False,False,2024-11-19T01:10:17Z
146,astral-sh/uv,82002,Rust,False,False,2023-10-02T20:24:11Z
147,bregman-arie/devops-exercises,81760,Python,False,False,2019-10-03T17:31:21Z
148,DopplerHQ/awesome-interview-questions,81646,,True,False,2015-11-28T09:48:17Z
149,ByteByteGoHq/system-design-101,81369,,False,False,2023-09-18T20:52:03Z
150,tonsky/FiraCode,81341,Clojure,False,False,2014-11-11T19:32:38Z
151,syncthing/syncthing,81097,Go,False,False,2013-11-26T09:48:21Z
152,hacksider/Deep-Live-Cam,80323,Python,False,False,2023-09-24T13:19:31Z
153,spring-projects/spring-boot,80306,Java,False,False,2012-10-19T15:02:57Z
154,fighting41love/funNLP,79602,Python,False,False,2018-08-21T11:20:39Z
155,vitejs/vite,79342,TypeScript,False,False,2020-04-21T05:03:57Z
156,junegunn/fzf,78963,Go,False,False,2013-10-23T16:04:23Z
157,doocs/advanced-java,78920,Java,False,False,2018-10-06T11:38:30Z
158,anuraghazra/github-readme-stats,78865,JavaScript,False,False,2020-07-09T10:34:22Z
159,hoppscotch/hoppscotch,78606,TypeScript,False,False,2019-08-21T13:15:24Z
160,netdata/netdata,78202,C,False,False,2013-06-17T18:39:10Z
161,zed-industries/zed,77867,Rust,False,False,2021-02-20T03:01:06Z
162,tensorflow/models,77690,Python,False,False,2016-02-05T01:15:20Z
163,Developer-Y/cs-video-courses,77455,,False,False,2016-10-21T17:02:11Z
164,mlabonne/llm-course,77334,,False,False,2023-06-17T22:16:25Z
165,nomic-ai/gpt4all,77241,C++,False,False,2023-03-27T18:49:32Z
166,localsend/localsend,77110,Dart,False,False,2022-12-16T00:46:07Z
167,coder/code-server,76827,TypeScript,False,False,2019-02-27T16:50:41Z
168,MisterBooo/LeetCodeAnimation,76700,Java,False,False,2018-12-06T08:01:22Z
169,d2l-ai/d2l-zh,76504,Python,False,False,2017-08-23T04:40:24Z
170,FortAwesome/Font-Awesome,76453,JavaScript,False,False,2012-02-17T14:19:43Z
171,elastic/elasticsearch,76395,Java,False,False,2010-02-08T13:20:56Z
172,swisskyrepo/PayloadsAllTheThings,76338,Python,False,False,2016-10-18T07:29:07Z
173,infiniflow/ragflow,76100,Python,False,False,2023-12-12T06:13:13Z
174,sdmg15/Best-websites-a-programmer-should-visit,75900,,True,False,2017-03-05T20:25:17Z
175,Stirling-Tools/Stirling-PDF,75770,TypeScript,False,False,2023-01-27T18:22:42Z
176,typicode/json-server,75676,JavaScript,False,False,2013-11-27T13:21:13Z
177,ventoy/Ventoy,75270,C,False,False,2020-03-10T15:19:19Z
178,jesseduffield/lazygit,75015,Go,False,False,2018-05-19T00:53:06Z
179,nestjs/nest,74986,TypeScript,False,False,2017-02-04T20:12:52Z
180,lobehub/lobehub,74294,TypeScript,False,False,2023-05-21T07:19:12Z
181,vllm-project/vllm,74281,Python,False,False,2023-02-09T11:23:20Z
182,unionlabs/union,74198,Rust,False,False,2023-05-16T22:33:39Z
183,sherlock-project/sherlock,74065,Python,False,False,2018-12-24T14:30:48Z
184,vuejs/awesome-vue,73620,,False,False,2015-10-20T00:16:14Z
185,awesomedata/awesome-public-datasets,73559,,False,False,2014-11-20T06:20:50Z
186,redis/redis,73543,C,False,False,2009-03-21T22:32:25Z
